Country,Best_p,MSE,MAE,R2,Beta,Train,Test,Predictions
Bahamas,4,1.2062125632442898e+18,832438253.5907671,0.08776653590284955,"[ 2.13507915e+09  6.98351139e-01  1.26484965e-01 -9.37578052e-02
  7.27355521e-02]","[3.109000e+09 3.092000e+09 3.259000e+09 3.429000e+09 3.609000e+09
 6.332360e+09 6.833220e+09 7.683870e+09 8.076470e+09 8.317830e+09
 8.881160e+09 8.870090e+09 9.055290e+09 9.836200e+09 1.016725e+10
 1.061834e+10 1.052600e+10 9.981960e+09 1.009576e+10 1.007045e+10
 1.072050e+10]","[1.04946e+10 1.11429e+10 1.18906e+10 1.19926e+10 1.23597e+10 1.28378e+10
 1.31644e+10 9.90750e+09 9.90750e+09]","[np.float64(10675000114.676954), np.float64(10610114459.58431), np.float64(10971494351.291769), np.float64(11644113334.31477), np.float64(11732703812.241463), np.float64(11979021729.176298), np.float64(12404157115.396118), np.float64(12665711595.000383), np.float64(10414437374.644295)]"
Bahrain,1,1.0282792782997121e+19,2437199024.634386,-0.8038184522930887,[4.22648624e+08 1.06805129e+00],"[4.75106383e+09 5.20026596e+09 5.56755346e+09 5.84946782e+09
 6.10186144e+09 6.34920239e+09 6.18377660e+09 6.62101037e+09
 9.06289894e+09 8.97619681e+09 9.59351064e+09 1.10748138e+10
 1.31501596e+10 1.59687234e+10 1.85047606e+10 2.17300000e+10
 2.57109043e+10 2.29382181e+10 2.57132713e+10 2.87765957e+10
 3.07493085e+10]","[3.25394681e+10 3.33877128e+10 3.10506383e+10 3.22349734e+10
 3.54737766e+10 3.78014628e+10 3.86525798e+10 3.47292287e+10
 3.47292287e+10]","[np.float64(33264487131.925846), np.float64(35176469368.12337), np.float64(36082438190.6056), np.float64(33586322798.7824), np.float64(34851253432.568054), np.float64(38310461347.31919), np.float64(40796549555.523575), np.float64(41705586184.89207), np.float64(37515246034.55218)]"
Bangladesh,6,9.077851095696435e+19,8369419066.108836,0.9757105308257421,"[-7.15472311e+08  1.82326428e+00 -1.12543679e+00  3.33528646e-01
 -1.70194296e-01 -1.89001844e-01  4.24023400e-01]","[3.17088746e+10 3.31665194e+10 3.37686609e+10 3.79397488e+10
 4.64384841e+10 4.82443091e+10 4.99845595e+10 5.12705699e+10
 5.33697873e+10 5.39912898e+10 5.47240815e+10 6.01589292e+10
 6.51085443e+10 6.94429431e+10 7.18190837e+10 7.96118882e+10
 9.16312782e+10 1.02477791e+11 1.15279077e+11 1.28637939e+11
 1.33355749e+11]","[1.49990451e+11 1.72885455e+11 1.95078679e+11 2.21415188e+11
 2.49710922e+11 2.74038973e+11 3.02571320e+11 3.23056958e+11
 3.23056958e+11]","[np.float64(135099995193.35138), np.float64(165443203117.79324), np.float64(189945172583.03677), np.float64(212290805385.4102), np.float64(244909954647.23434), np.float64(269222429721.52563), np.float64(289466960413.83234), np.float64(324577857409.5242), np.float64(337548362195.48126)]"
Barbados,1,8.718946050096582e+16,143655216.79809093,-0.30009682145931404,[2.25986302e+08 9.71734729e-01],"[1.95700000e+09 2.06334212e+09 2.15134490e+09 2.21697410e+09
 2.36364540e+09 2.49838413e+09 2.81708348e+09 2.95182220e+09
 3.05950000e+09 3.05450000e+09 3.10650000e+09 3.20950000e+09
 3.44450000e+09 3.81950000e+09 4.21750000e+09 4.67400000e+09
 4.78500000e+09 4.46550000e+09 4.53000000e+09 4.65750000e+09
 4.61000000e+09]","[4.6770e+09 4.6965e+09 4.7150e+09 4.8300e+09 4.9780e+09 5.0865e+09
 5.2090e+09 4.4180e+09 4.4180e+09]","[np.float64(4705683400.865361), np.float64(4770789627.677726), np.float64(4789738454.88431), np.float64(4807715547.362351), np.float64(4919465041.144769), np.float64(5063281780.969097), np.float64(5168714999.015986), np.float64(5287752503.262474), np.float64(4519110332.985151)]"
Belarus,1,1.1997536040553421e+20,7296118447.965103,-0.4042212237078604,[7.58606157e+08 1.05983154e+00],"[1.77930000e+10 1.77930000e+10 1.77930000e+10 1.34892222e+10
 1.47568462e+10 1.41088462e+10 1.52643696e+10 1.21528675e+10
 1.27389121e+10 1.23548201e+10 1.45942490e+10 1.78277913e+10
 2.31443519e+10 3.02075673e+10 3.69543124e+10 4.52773998e+10
 6.07634831e+10 5.08740781e+10 5.72224908e+10 6.17577889e+10
 6.56851026e+10]","[7.55279842e+10 7.88138400e+10 5.64547344e+10 4.77226578e+10
 5.47265952e+10 6.00312623e+10 6.44096472e+10 6.02582391e+10
 6.02582391e+10]","[np.float64(70373749682.79936), np.float64(80805546150.5987), np.float64(84287999716.98119), np.float64(60591114364.51804), np.float64(51336584182.34282), np.float64(58759577987.167114), np.float64(64381631414.8455), np.float64(69021981860.74333), np.float64(64622188572.207565)]"
Belgium,1,1.0336943960933258e+21,22199716100.38718,-0.49937968427281754,[1.71054406e+10 9.87991152e-01],"[2.34781652e+11 2.24721796e+11 2.44884129e+11 2.88025588e+11
 2.79201433e+11 2.52708051e+11 2.58528340e+11 2.58158534e+11
 2.36204533e+11 2.36541298e+11 2.57157820e+11 3.17381716e+11
 3.68537000e+11 3.85570949e+11 4.07918078e+11 4.70324254e+11
 5.15223524e+11 4.81345929e+11 4.80951629e+11 5.22645519e+11
 4.96181260e+11]","[5.21642714e+11 5.34678076e+11 4.62149679e+11 4.75739589e+11
 5.01522868e+11 5.43008499e+11 5.35288715e+11 5.21861293e+11
 5.21861293e+11]","[np.float64(507328135738.8793), np.float64(532483827167.31635), np.float64(545362648918.87897), np.float64(473705234891.25183), np.float64(487131945161.82904), np.float64(512605597279.73505), np.float64(553593033600.2162), np.float64(545965955255.90686), np.float64(532699780474.0643)]"
Belize,7,1.7048570671499644e+16,90362975.36451536,0.024903264186010743,"[ 1.11827704e+08  7.89248118e-01  1.05148760e-01 -2.17845442e-01
  5.43076613e-01  6.35419525e-02 -1.43432587e-01 -2.07209600e-01]","[5.18559700e+08 5.60205300e+08 5.81269550e+08 6.20422500e+08
 6.41660000e+08 6.54582900e+08 6.89140000e+08 7.32732350e+08
 8.32072450e+08 8.68358750e+08 9.25197950e+08 9.83575600e+08
 1.05138660e+09 1.10256490e+09 1.21060375e+09 1.27159805e+09
 1.35133865e+09 1.31730945e+09 1.37717710e+09 1.46079790e+09
 1.52289751e+09]","[1.57941125e+09 1.66733506e+09 1.72170099e+09 1.78930409e+09
 1.85852968e+09 1.91589979e+09 1.98251854e+09 1.63628080e+09
 1.63628080e+09]","[np.float64(1535390362.9249315), np.float64(1574581450.460884), np.float64(1673963873.756955), np.float64(1751308375.3811798), np.float64(1801464825.650501), np.float64(1876472220.803019), np.float64(1928441599.8359265), np.float64(1987819090.5451946), np.float64(1724932593.1934104)]"
Benin,1,1.0788560386302751e+18,733740755.5348907,0.5035565229291001,[2.86358823e+08 1.03612465e+00],"[1.69531531e+09 2.27455791e+09 1.59807593e+09 2.16962725e+09
 2.36111659e+09 2.26830154e+09 2.45509258e+09 3.67739429e+09
 3.51999133e+09 3.66622260e+09 4.19434285e+09 5.34925833e+09
 6.19027076e+09 6.56765449e+09 7.03411165e+09 8.16904869e+09
 9.78773543e+09 9.73862699e+09 9.53534428e+09 1.06933220e+10
 1.11413589e+10]","[1.25178457e+10 1.32845287e+10 1.13881610e+10 1.18210662e+10
 1.27016547e+10 1.42624070e+10 1.43916866e+10 1.56515453e+10
 1.56515453e+10]","[np.float64(11830195487.245817), np.float64(13256407381.03148), np.float64(14050786456.929256), np.float64(12085913137.294353), np.float64(12534456881.309626), np.float64(13446856428.666742), np.float64(15063990330.146576), np.float64(15197940132.78309), np.float64(16503310789.10239)]"
Bermuda,1,7.579162914033814e+16,181914937.2111419,0.3143228444715692,[3.90487323e+08 9.62787419e-01],"[1.6799000e+09 1.8203599e+09 1.8671601e+09 2.0307500e+09 2.6953900e+09
 2.9328270e+09 3.1307480e+09 3.3244330e+09 3.4802190e+09 3.6804830e+09
 3.9372280e+09 4.1865250e+09 4.4847030e+09 4.8681360e+09 6.1440000e+09
 6.7670000e+09 6.9800000e+09 6.6560000e+09 6.6345260e+09 6.3126910e+09
 6.3781880e+09]","[6.465756e+09 6.413988e+09 6.654541e+09 6.899911e+09 7.142316e+09
 7.224329e+09 7.484113e+09 6.842700e+09 6.842700e+09]","[np.float64(6531326486.536065), np.float64(6615635855.257878), np.float64(6565794276.142324), np.float64(6797395678.185747), np.float64(7033634827.227307), np.float64(7267019311.571032), np.float64(7345980396.179359), np.float64(7596097163.080826), np.float64(6978552796.189215)]"
Bhutan,1,4.2419373179994296e+16,162528699.9883642,0.3474470300188539,[1.82087216e+07 1.08556371e+00],"[2.40215764e+08 2.25998091e+08 2.58985598e+08 2.90464801e+08
 3.03435518e+08 3.52260953e+08 3.63452787e+08 3.99268802e+08
 4.24464090e+08 4.61444514e+08 5.20849552e+08 6.04041958e+08
 6.82523857e+08 7.96938120e+08 8.74989896e+08 1.16830852e+09
 1.22780879e+09 1.23401429e+09 1.54799132e+09 1.77710132e+09
 1.78128128e+09]","[1.75621567e+09 1.90709081e+09 2.00359821e+09 2.15897213e+09
 2.45036493e+09 2.44686640e+09 2.53565707e+09 2.31543734e+09
 2.31543734e+09]","[np.float64(1951903041.8514898), np.float64(1924692718.1738904), np.float64(2088477304.2921324), np.float64(2193242235.1700644), np.float64(2361910520.193693), np.float64(2678235968.820836), np.float64(2674438099.0515866), np.float64(2770826021.8982477), np.float64(2531763473.3769236)]"
