Country,,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,Economics: GDP,652174990.837304,1185315468.46295,1880951520.3972,2392764853.42107,3199641335.93751,2258513974.0968,2545964540.88383,3212121650.97755,3480355258.04122,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052073539.38058,8896072918.9814,10677324144.4289,12881353507.8539,12044208085.864,11926922828.9911,12890764531.3284,12319830437.3467,12776220507.0162,13228147516.1168,11386850129.8411,11861199830.8396,13019689336.6919,15156432309.8977,15400242874.8812,14887629268.2927,
Albania,Economics: GDP Growth,-7.18711091636945,9.55941169434738,8.3028665911288,13.3223333200802,9.0999994436022,-10.9199840851035,8.8294237664642,12.8908036419573,6.94621658543626,8.2933126362982,4.53652415746586,5.5286374640865,5.51466791001826,5.52642424110965,5.90265903803065,5.98325952322337,7.5000414281097,3.35428935222038,3.70693815038592,2.54540614450104,1.417242800379,1.00201754037133,1.77444885497087,2.21872637165328,3.31498068405152,3.80222740018748,4.01935968580831,2.11341998165848,-3.95539792669307,
Albania,Economics: GDP Per Capita,200.852219772323,367.279225077581,586.416339644261,750.604449178826,1009.97727483821,717.380047745673,813.789396580449,1033.24253162418,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78658429559,2972.74292399799,3595.03805682893,4370.5399247769,4114.13489916342,4094.34838574494,4437.14261222684,4247.63004748194,4413.06200528903,4578.63320812155,3952.80253807527,4124.05538986272,4531.0193737689,5287.66369446913,5395.65953185375,5246.29230634793,
Albania,Economics: GDP Per Capita Growth,-6.62255121373244,10.2299493626077,8.96976165264687,14.0244959282551,9.78017988648602,-10.3611049779492,9.51648444633986,13.6080691249014,7.63002243231912,9.31439714452952,4.85047533129186,5.92421154162319,5.9565695952175,6.06788243348224,6.5729229844884,6.78722894058974,8.32810842081639,4.05313986616314,4.22308382503236,2.82164245514005,1.58487281498216,1.18723435252161,1.98538809417568,2.51682705063622,3.48029321692431,3.89774060579526,4.2763256546607,2.54935857948763,-3.39870846788662,
Albania,Economics: PPP,5917192039.58383,6636506129.85337,7341010522.39282,8493445677.1662,9436013062.55441,8555908065.78459,9451419206.02876,10792624922.3438,11926129734.7085,13157356089.9326,14221986237.4723,15198230044.7357,16429415677.4264,17663280434.3643,19650777816.5529,21631651452.0414,24251525378.4462,25800311194.0603,28048669277.8213,29655555314.7371,30530372661.7234,30603912535.8345,32529194811.0951,33585844099.8588,34739972822.8228,36696816738.7391,38647380897.284,39995711225.2177,38138316065.2023,
Albania,Economics: PPP Growth,-5.071988402405905,12.156341816483126,10.615591679639062,15.698590149925847,11.097585376006016,-9.327085400744126,10.466582078240826,14.190521942562087,10.502586910233704,10.323771270413687,8.091520365206998,6.864328167405896,8.10084877690841,7.510095192449233,11.252141919922638,10.080382842759064,12.111298724525078,6.386343916290714,8.714461104169219,5.728920759126345,2.94992738359402,0.24087447253239003,6.290967774157191,3.248310617277546,3.4363546723211664,5.6328308772617355,5.315349754807971,3.488801302000924,-4.64398582527091,
Albania,Economics: PPP Per Capita,1822.33476086485,2056.37308669894,2288.6759563705,2664.37301811108,2978.50845068672,2717.6443480695,3021.04157736341,3471.66150890924,3860.80462705845,4299.54649293767,4661.40269532788,5000.04936305629,5427.73266241123,5865.30190379844,6566.57282794654,7283.34263812006,8228.34804111345,8813.02946080293,9628.72196177826,10207.7675731705,10526.2591833762,10570.963733047,11259.2675137673,11658.9055171112,12078.8431361843,12770.9642910053,13483.0116137185,14012.9764354305,13439.6652780757,
Albania,Economics: PPP Per Capita Growth,-4.494562890404135,12.842773504634192,11.296727776401307,16.41547641092799,11.790219704234506,-8.75821260661777,11.163978447342835,14.916045344172495,11.209131914230733,11.364000726799224,8.416148144567936,7.26490908129081,8.553581540913395,8.061731640128777,11.956263047498854,10.915432280337072,12.974885982259787,7.105696268170528,9.255529039171204,6.013732805774166,3.120090734068086,0.42469550570634074,6.511268017773264,3.5494138748834376,3.6018614136359393,5.730028505359347,5.575517294451288,3.930611623687843,-4.091287529073678,
Albania,Electricity: Distribution Losses,1.411,1.655,1.843,2.283,2.887,2.913,3.189,2.213,2.073,1.889,1.297,2.091,1.968,0.628,2.489,2.085,1.19884,1.25041,1.12132,1.07628,1.1193,1.95349,1.11907,1.25,1.9859,1.276047,1.1557,1.08183,0.93263,0.999072126
Albania,Electricity: Distribution Losses Growth,10.406885758998435,17.292700212615166,11.359516616314195,23.87411828540423,26.45641699518178,0.9005888465535088,9.474768280123593,-30.60520539354029,-6.326253953908727,-8.876025084418714,-31.33933298041292,61.218195836545895,-5.882352941176481,-68.08943089430893,296.3375796178343,-16.231418240257128,-42.50167865707434,4.301658269660682,-10.323813789077176,-4.016694609924035,3.99710112610102,74.52782989368355,-42.714321547589186,11.699893661701232,58.872,-35.74464978095574,-9.431235683325143,-6.391797179198743,-13.791445975800274,7.124167783579768
